,epoca1,epoca2,epoca3,epoca4,epoca5,epoca6,epoca7,epoca8,epoca9,epoca10,epoca11,epoca12,epoca13,epoca14,epoca15,epoca16,epoca17,epoca18,epoca19,epoca20,epoca21,epoca22,epoca23,epoca24,epoca25,epoca26,epoca27,epoca28,epoca29,epoca30,epoca31,epoca32,epoca33,epoca34,epoca35,epoca36,epoca37,epoca38,epoca39,epoca40,epoca41,epoca42,epoca43,epoca44,epoca45,epoca46,epoca47,epoca48,epoca49,epoca50,epoca51,epoca52,epoca53,epoca54,epoca55,epoca56,epoca57,epoca58,epoca59,epoca60,epoca61,epoca62,epoca63,epoca64,epoca65,epoca66,epoca67,epoca68,epoca69,epoca70,epoca71,epoca72,epoca73,epoca74,epoca75,epoca76,epoca77,epoca78,epoca79,epoca80,epoca81,epoca82,epoca83,epoca84,epoca85,epoca86,epoca87,epoca88,epoca89,epoca90,epoca91,epoca92,epoca93,epoca94,epoca95,epoca96,epoca97,epoca98,epoca99,epoca100
fold1,0.7526299953460693,0.7571385502815247,0.8001202344894409,0.8358882069587708,0.8599338531494141,0.8701533079147339,0.8803727030754089,0.8833784461021423,0.8969041109085083,0.8935978412628174,0.9068229794502258,0.9008115530014038,0.9083257913589478,0.911932647228241,0.9083257913589478,0.9140366911888123,0.9182446599006653,0.9092275500297546,0.9230538010597229,0.9224526882171631,0.9248571991920471,0.9224526882171631,0.923955500125885,0.9320709109306335,0.9290652275085449,0.9212504029273987,0.9260594844818115,0.930588960647583,0.9281635284423828,0.9287646412849426,0.935978353023529,0.9344754815101624,0.9329726696014404,0.9287646412849426,0.9284640550613403,0.9353772401809692,0.9329726696014404,0.9380823373794556,0.9353772401809692,0.9353772401809692,0.9401863813400269,0.9398857951164246,0.9428914785385132,0.9404869079589844,0.9380823373794556,0.9371806383132935,0.9413886666297913,0.9389840960502625,0.9455966353416443,0.9419897794723511,0.9323714971542358,0.9404869079589844,0.9371806383132935,0.9449954628944397,0.9428914785385132,0.9383829236030579,0.9461977481842041,0.9486023187637329,0.9440937638282776,0.9449954628944397,0.9404869079589844,0.9425909519195557,0.9431920647621155,0.9419897794723511,0.9374812245368958,0.9401863813400269,0.9464983344078064,0.947099506855011,0.9374812245368958,0.9461977481842041,0.9437931776046753,0.957318902015686,0.9416891932487488,0.9477006196975708,0.9461977481842041,0.945296049118042,0.9492034912109375,0.9458972215652466,0.9510068893432617,0.953110933303833,0.947099506855011,0.9467989206314087,0.9437931776046753,0.9519086480140686,0.9477006196975708,0.947099506855011,0.9419897794723511,0.9501051902770996,0.9449954628944397,0.9474000334739685,0.9464983344078064,0.9519086480140686,0.9434926509857178,0.9461977481842041,0.947099506855011,0.9458972215652466,0.9489029049873352,0.9407874941825867,0.9440937638282776,0.9477006196975708
fold2,0.7508265972137451,0.763450562953949,0.8139464855194092,0.8485121726989746,0.8722572922706604,0.8836789727210999,0.8951007127761841,0.8975052833557129,0.8996092677116394,0.9080252647399902,0.9092275500297546,0.9134355187416077,0.9116321206092834,0.9158400893211365,0.910429835319519,0.9191463589668274,0.9206492304801941,0.9236549735069275,0.9287646412849426,0.9254583716392517,0.9230538010597229,0.9242560863494873,0.9245566725730896,0.9356777667999268,0.9311692118644714,0.9338743686676025,0.9347760677337646,0.9383829236030579,0.933273196220398,0.9266606569290161,0.9395852088928223,0.9383829236030579,0.935978353023529,0.9353772401809692,0.9395852088928223,0.941088080406189,0.9386835098266602,0.9437931776046753,0.9395852088928223,0.9329726696014404,0.9407874941825867,0.945296049118042,0.9455966353416443,0.9455966353416443,0.9404869079589844,0.947099506855011,0.9437931776046753,0.945296049118042,0.9383829236030579,0.9386835098266602,0.9389840960502625,0.9446949362754822,0.9419897794723511,0.9401863813400269,0.945296049118042,0.9441105723381042,0.9458972215652466,0.9446949362754822,0.9422903656959534,0.9350766539573669,0.941088080406189,0.9371806383132935,0.9431920647621155,0.9431920647621155,0.931770384311676,0.9434926509857178,0.9446949362754822,0.9386835098266602,0.9431920647621155,0.9441105723381042,0.9428914785385132,0.9483017921447754,0.9413886666297913,0.945296049118042,0.945296049118042,0.9396033883094788,0.9401863813400269,0.9425909519195557,0.9428914785385132,0.9380823373794556,0.941088080406189,0.9477006196975708,0.9407874941825867,0.9477006196975708,0.9401863813400269,0.9446949362754822,0.9431920647621155,0.941088080406189,0.941088080406189,0.9489029049873352,0.9404869079589844,0.9492034912109375,0.9434926509857178,0.935978353023529,0.9371806383132935,0.9422903656959534,0.935978353023529,0.941088080406189,0.9407874941825867,0.9398857951164246
fold3,0.7529305815696716,0.76164710521698,0.7998196482658386,0.8355876207351685,0.8572287559509277,0.8701533079147339,0.8740606904029846,0.8890892863273621,0.8854824304580688,0.8999098539352417,0.8996092677116394,0.8960024118423462,0.905921220779419,0.9077246785163879,0.9143372178077698,0.9146378040313721,0.919747531414032,0.9164412617683411,0.9161406755447388,0.9182446599006653,0.9206492304801941,0.9209498167037964,0.9191463589668274,0.9218515157699585,0.9227532148361206,0.9275623559951782,0.9266606569290161,0.9272617697715759,0.9281635284423828,0.9245566725730896,0.9338743686676025,0.9329726696014404,0.9254583716392517,0.9326720833778381,0.9389840960502625,0.9320709109306335,0.9362789392471313,0.9347760677337646,0.9389840960502625,0.9335737824440002,0.9353772401809692,0.9356777667999268,0.9314697980880737,0.9395852088928223,0.9416891932487488,0.9401863813400269,0.9407874941825867,0.9398857951164246,0.9443943500518799,0.9404869079589844,0.9449954628944397,0.9440937638282776,0.9416891932487488,0.9404869079589844,0.93928462266922,0.9449954628944397,0.9422903656959534,0.9474000334739685,0.9389840960502625,0.9443943500518799,0.941088080406189,0.9440937638282776,0.93928462266922,0.9464983344078064,0.941088080406189,0.9437931776046753,0.9467989206314087,0.941088080406189,0.9443943500518799,0.9501051902770996,0.9383829236030579,0.9489029049873352,0.9446949362754822,0.9371806383132935,0.9371806383132935,0.941088080406189,0.9401863813400269,0.9492034912109375,0.9428914785385132,0.9422903656959534,0.9461977481842041,0.9474000334739685,0.9416891932487488,0.947099506855011,0.9401863813400269,0.945296049118042,0.9480012059211731,0.9458972215652466,0.9380823373794556,0.9446949362754822,0.9380823373794556,0.9407874941825867,0.9461977481842041,0.9401863813400269,0.9489029049873352,0.9371806383132935,0.9278629422187805,0.9380823373794556,0.9455966353416443,0.9477006196975708
fold4,0.7553571462631226,0.7648809552192688,0.8166666626930237,0.848809540271759,0.8604166507720947,0.869940459728241,0.8738095164299011,0.8848214149475098,0.8892857432365417,0.8934524059295654,0.9047619104385376,0.906845211982727,0.906845211982727,0.9119047522544861,0.9098214507102966,0.9151785969734192,0.9142857193946838,0.918154776096344,0.9232142567634583,0.9244047403335571,0.9252976179122925,0.9252976179122925,0.9244047403335571,0.9226190447807312,0.9336309432983398,0.9291666746139526,0.9363095164299011,0.9327380657196045,0.9297618865966797,0.9336309432983398,0.9345238208770752,0.9312499761581421,0.9372023940086365,0.9422619342803955,0.936904788017273,0.9348214268684387,0.9434523582458496,0.9395833611488342,0.9431547522544861,0.9413690567016602,0.9431547522544861,0.9452381134033203,0.9428571462631226,0.9392856955528259,0.9419642686843872,0.944940447807312,0.9410714507102966,0.9461309313774109,0.9401785731315613,0.9404761791229248,0.9398809671401978,0.9395833611488342,0.944940447807312,0.9437500238418579,0.9497023820877075,0.9428571462631226,0.9467262029647827,0.944345235824585,0.936904788017273,0.9377976059913635,0.9473214149475098,0.949404776096344,0.9434523582458496,0.9497023820877075,0.949404776096344,0.9464285969734192,0.9431547522544861,0.9491071701049805,0.9473214149475098,0.9386904835700989,0.944940447807312,0.9476190209388733,0.9485118985176086,0.9511904716491699,0.9419642686843872,0.9422619342803955,0.9476190209388733,0.9523809552192688,0.9464285969734192,0.9488095045089722,0.9458333253860474,0.942559540271759,0.9467262029647827,0.9416666626930237,0.9431547522544861,0.9372023940086365,0.9437500238418579,0.9410714507102966,0.9422619342803955,0.938095211982727,0.9407737851142883,0.9422619342803955,0.9395833611488342,0.9476190209388733,0.9401785731315613,0.944345235824585,0.9434523582458496,0.9428571462631226,0.9375,0.9407737851142883
fold5,0.7595238089561462,0.7663690447807312,0.8002976179122925,0.8372023701667786,0.8642857074737549,0.8741071224212646,0.8821428418159485,0.8901785612106323,0.8991071581840515,0.9008928537368774,0.9116071462631226,0.9104166626930237,0.9086309671401978,0.9199404716491699,0.918154776096344,0.9127976298332214,0.9154762029647827,0.9214285612106323,0.9208333492279053,0.9190475940704346,0.9175595045089722,0.9235119223594666,0.9258928298950195,0.9297618865966797,0.9244047403335571,0.9291666746139526,0.9285714030265808,0.9303571581840515,0.9285714030265808,0.9288690686225891,0.9282737970352173,0.9270833134651184,0.9285714030265808,0.9342262148857117,0.9258928298950195,0.9345238208770752,0.9330357313156128,0.9318452477455139,0.9386904835700989,0.9366071224212646,0.9372023940086365,0.9333333373069763,0.9383928775787354,0.9321428537368774,0.942559540271759,0.9348214268684387,0.9333333373069763,0.9407737851142883,0.9398809671401978,0.930654764175415,0.9351190328598022,0.9363095164299011,0.9392856955528259,0.9383928775787354,0.9366071224212646,0.944345235824585,0.9440476298332214,0.9348214268684387,0.9401785731315613,0.9446428418159485,0.9395833611488342,0.9407737851142883,0.9440476298332214,0.9383928775787354,0.9428571462631226,0.9452381134033203,0.9422619342803955,0.9485118985176086,0.9437500238418579,0.9422619342803955,0.9419642686843872,0.944345235824585,0.938095211982727,0.9422619342803955,0.9410714507102966,0.9437500238418579,0.9377976059913635,0.9446428418159485,0.942559540271759,0.9392856955528259,0.9428571462631226,0.9419642686843872,0.9461309313774109,0.9488095045089722,0.9419642686843872,0.9437500238418579,0.944345235824585,0.9419642686843872,0.9428571462631226,0.9446428418159485,0.9508928656578064,0.9473214149475098,0.942559540271759,0.944940447807312,0.9383928775787354,0.9431547522544861,0.9428571462631226,0.9434523582458496,0.9416666626930237,0.9407737851142883
fold6,0.7538690567016602,0.7642857432365417,0.7800595164299011,0.8315476179122925,0.8491071462631226,0.8645833134651184,0.8773809671401978,0.8830357193946838,0.8910714387893677,0.8985118865966797,0.8961309790611267,0.9044643044471741,0.90625,0.9095237851142883,0.9083333611488342,0.9119047522544861,0.9145833253860474,0.9107142686843872,0.9157738089561462,0.9208333492279053,0.9190475940704346,0.9190475940704346,0.9258928298950195,0.9241071343421936,0.9303571581840515,0.9297618865966797,0.9285714030265808,0.9303571581840515,0.9279761910438538,0.9330357313156128,0.9282737970352173,0.9303571581840515,0.9285714030265808,0.9375,0.9372023940086365,0.9345238208770752,0.9375,0.9398809671401978,0.9327380657196045,0.9413690567016602,0.9351190328598022,0.944940447807312,0.942559540271759,0.9372023940086365,0.9422619342803955,0.9479166865348816,0.9318452477455139,0.9389880895614624,0.9464285969734192,0.9482142925262451,0.9428571462631226,0.9422619342803955,0.9446428418159485,0.9419642686843872,0.9437500238418579,0.9523809552192688,0.9467262029647827,0.9508928656578064,0.944940447807312,0.9514880776405334,0.9476190209388733,0.9473214149475098,0.9398809671401978,0.9470238089561462,0.9470238089561462,0.949404776096344,0.944345235824585,0.9464285969734192,0.9464285969734192,0.9467262029647827,0.944940447807312,0.9455357193946838,0.944940447807312,0.9455357193946838,0.949999988079071,0.9479166865348816,0.9482142925262451,0.9529761672019958,0.9485118985176086,0.9434523582458496,0.9479166865348816,0.9416666626930237,0.9479166865348816,0.9467262029647827,0.9488095045089722,0.942559540271759,0.9452381134033203,0.944940447807312,0.9511904716491699,0.9395833611488342,0.9461309313774109,0.9479166865348816,0.9488095045089722,0.9488095045089722,0.949999988079071,0.9428571462631226,0.9514880776405334,0.9479166865348816,0.9464285969734192,0.9455357193946838
fold7,0.7562500238418579,0.7636904716491699,0.7955357432365417,0.8422619104385376,0.848809540271759,0.8678571581840515,0.8776785731315613,0.8848214149475098,0.8901785612106323,0.8922619223594666,0.9044643044471741,0.9047619104385376,0.9047619104385376,0.913095235824585,0.9095237851142883,0.9086309671401978,0.9044643044471741,0.9193452596664429,0.9125000238418579,0.9163690209388733,0.9220238327980042,0.9205357432365417,0.925595223903656,0.9202380776405334,0.9261904954910278,0.9285714030265808,0.9270833134651184,0.9241071343421936,0.9267857074737549,0.9258928298950195,0.9318452477455139,0.9297618865966797,0.932440459728241,0.9312499761581421,0.9303571581840515,0.9327380657196045,0.932440459728241,0.9267857074737549,0.930059552192688,0.9288690686225891,0.9318452477455139,0.9330357313156128,0.9336309432983398,0.9297618865966797,0.9279761910438538,0.9315476417541504,0.9285714030265808,0.930059552192688,0.9330357313156128,0.9276785850524902,0.932440459728241,0.9360119104385376,0.9303571581840515,0.9348214268684387,0.9363095164299011,0.9354166388511658,0.938095211982727,0.9339285492897034,0.9363095164299011,0.9333333373069763,0.9288690686225891,0.9357143044471741,0.9339285492897034,0.9318452477455139,0.930059552192688,0.9273809790611267,0.9312499761581421,0.9345238208770752,0.9351190328598022,0.9270833134651184,0.9318452477455139,0.932440459728241,0.9294642806053162,0.9321428537368774,0.9294642806053162,0.9312499761581421,0.9321428537368774,0.9342262148857117,0.9318452477455139,0.9336309432983398,0.9333333373069763,0.9282737970352173,0.9247024059295654,0.9321428537368774,0.932440459728241,0.9169642925262451,0.9407737851142883,0.9264881014823914,0.9339285492897034,0.9270833134651184,0.9261904954910278,0.9312499761581421,0.9247024059295654,0.930654764175415,0.9297618865966797,0.9264881014823914,0.9392856955528259,0.930654764175415,0.925000011920929,0.932440459728241
fold8,0.7535714507102966,0.7589285969734192,0.7589285969734192,0.7970238327980042,0.8303571343421936,0.8568452596664429,0.8678571581840515,0.8729166388511658,0.881845235824585,0.8958333134651184,0.8949404954910278,0.8946428298950195,0.905654788017273,0.9071428775787354,0.9110119342803955,0.9133928418159485,0.9142857193946838,0.9139881134033203,0.9119047522544861,0.9211309552192688,0.918154776096344,0.9160714149475098,0.9184523820877075,0.9202380776405334,0.9220238327980042,0.9238095283508301,0.9294642806053162,0.9282737970352173,0.9273809790611267,0.9288690686225891,0.9285714030265808,0.9282737970352173,0.9294642806053162,0.9247024059295654,0.9241071343421936,0.9247024059295654,0.9342262148857117,0.9267857074737549,0.9321428537368774,0.9339285492897034,0.9312499761581421,0.9377976059913635,0.9312499761581421,0.9366071224212646,0.9357143044471741,0.9395833611488342,0.9404761791229248,0.9366071224212646,0.9303571581840515,0.9327380657196045,0.9398809671401978,0.938095211982727,0.9398809671401978,0.9410714507102966,0.9401785731315613,0.9422619342803955,0.9413690567016602,0.9416666626930237,0.9473214149475098,0.9455357193946838,0.9422619342803955,0.9419642686843872,0.9458333253860474,0.9410714507102966,0.9476190209388733,0.9398809671401978,0.9375,0.9410714507102966,0.9461309313774109,0.9395833611488342,0.9422619342803955,0.9461309313774109,0.9404761791229248,0.9395833611488342,0.9422619342803955,0.9392856955528259,0.9386904835700989,0.9464285969734192,0.9419642686843872,0.9485118985176086,0.9410714507102966,0.9386904835700989,0.9458333253860474,0.9401785731315613,0.9458333253860474,0.9407737851142883,0.9446428418159485,0.9190475940704346,0.9452381134033203,0.9354166388511658,0.9383928775787354,0.9401785731315613,0.938095211982727,0.942559540271759,0.9461309313774109,0.9285714030265808,0.9339285492897034,0.9467262029647827,0.9437500238418579,0.9360119104385376
fold9,0.7556547522544861,0.762499988079071,0.7758928537368774,0.8345237970352173,0.8604166507720947,0.8705357313156128,0.8791666626930237,0.8860118985176086,0.8880952596664429,0.8964285850524902,0.9089285731315613,0.9041666388511658,0.9089285731315613,0.9080356955528259,0.9101190567016602,0.9175595045089722,0.9133928418159485,0.9184523820877075,0.9252976179122925,0.9288690686225891,0.9279761910438538,0.9238095283508301,0.9247024059295654,0.9261904954910278,0.9244047403335571,0.9276785850524902,0.9282737970352173,0.9309523701667786,0.9336309432983398,0.9342262148857117,0.9297618865966797,0.930654764175415,0.9330357313156128,0.9354166388511658,0.9404761791229248,0.9395833611488342,0.9395833611488342,0.9407737851142883,0.9431547522544861,0.9348214268684387,0.9428571462631226,0.9455357193946838,0.9437500238418579,0.9428571462631226,0.9419642686843872,0.9410714507102966,0.942559540271759,0.9455357193946838,0.9416666626930237,0.9476190209388733,0.9476190209388733,0.9479166865348816,0.9458333253860474,0.9482142925262451,0.9488095045089722,0.9535714387893677,0.9502975940704346,0.9476190209388733,0.9485118985176086,0.9482142925262451,0.9497023820877075,0.9526785612106323,0.9485118985176086,0.9470238089561462,0.9497023820877075,0.956845223903656,0.9458333253860474,0.949999988079071,0.9497023820877075,0.9502975940704346,0.9559524059295654,0.9523809552192688,0.9517857432365417,0.949404776096344,0.9488095045089722,0.9529761672019958,0.9547619223594666,0.9523809552192688,0.9547619223594666,0.944345235824585,0.9523809552192688,0.9473214149475098,0.9497023820877075,0.9529761672019958,0.9574404954910278,0.9502975940704346,0.9526785612106323,0.9529761672019958,0.949404776096344,0.9502975940704346,0.9556547403335571,0.9497023820877075,0.9517857432365417,0.9485118985176086,0.9550595283508301,0.9514880776405334,0.949999988079071,0.9520833492279053,0.9574404954910278,0.944940447807312
fold10,0.7595238089561462,0.7595238089561462,0.7815476059913635,0.8398809432983398,0.8547618985176086,0.8711309432983398,0.8794642686843872,0.8892857432365417,0.8916666507720947,0.8967261910438538,0.905654788017273,0.9005952477455139,0.9065476059913635,0.9125000238418579,0.9154762029647827,0.911309540271759,0.918154776096344,0.9196428656578064,0.925595223903656,0.9241071343421936,0.9232142567634583,0.9252976179122925,0.9270833134651184,0.9288690686225891,0.9252976179122925,0.9297618865966797,0.9276785850524902,0.9345238208770752,0.9267857074737549,0.9309523701667786,0.9282737970352173,0.9339285492897034,0.9375,0.9407737851142883,0.9309523701667786,0.9345238208770752,0.9372023940086365,0.9357143044471741,0.9407737851142883,0.9395833611488342,0.9366071224212646,0.9401785731315613,0.9392856955528259,0.9392856955528259,0.9413690567016602,0.9446428418159485,0.9431547522544861,0.9404761791229248,0.9467262029647827,0.9434523582458496,0.9404761791229248,0.9345238208770752,0.9419642686843872,0.9407737851142883,0.9464285969734192,0.949404776096344,0.944345235824585,0.9482142925262451,0.9452381134033203,0.9476190209388733,0.9422619342803955,0.9386904835700989,0.9523809552192688,0.9458333253860474,0.9488095045089722,0.9464285969734192,0.9458333253860474,0.9455357193946838,0.9461309313774109,0.9488095045089722,0.9461309313774109,0.9488095045089722,0.9470238089561462,0.9517857432365417,0.944940447807312,0.9502975940704346,0.9488095045089722,0.9461309313774109,0.9428571462631226,0.9529761672019958,0.9428571462631226,0.9470238089561462,0.9473214149475098,0.944940447807312,0.9404761791229248,0.9446428418159485,0.9413690567016602,0.9491071701049805,0.9434523582458496,0.944940447807312,0.9401785731315613,0.949404776096344,0.9413690567016602,0.9479166865348816,0.944345235824585,0.9407737851142883,0.9413690567016602,0.9488095045089722,0.944940447807312,0.9461309313774109
