,epoca1,epoca2,epoca3,epoca4,epoca5,epoca6,epoca7,epoca8,epoca9,epoca10,epoca11,epoca12,epoca13,epoca14,epoca15,epoca16,epoca17,epoca18,epoca19,epoca20,epoca21,epoca22,epoca23,epoca24,epoca25,epoca26,epoca27,epoca28,epoca29,epoca30,epoca31,epoca32,epoca33,epoca34,epoca35,epoca36,epoca37,epoca38,epoca39,epoca40,epoca41,epoca42,epoca43,epoca44,epoca45,epoca46,epoca47,epoca48,epoca49,epoca50,epoca51,epoca52,epoca53,epoca54,epoca55,epoca56,epoca57,epoca58,epoca59,epoca60,epoca61,epoca62,epoca63,epoca64,epoca65,epoca66,epoca67,epoca68,epoca69,epoca70,epoca71,epoca72,epoca73,epoca74,epoca75,epoca76,epoca77,epoca78,epoca79,epoca80,epoca81,epoca82,epoca83,epoca84,epoca85,epoca86,epoca87,epoca88,epoca89,epoca90,epoca91,epoca92,epoca93,epoca94,epoca95,epoca96,epoca97,epoca98,epoca99,epoca100
fold1,0.7897727489471436,0.7926136255264282,0.8806818127632141,0.8039772510528564,0.8863636255264282,0.9147727489471436,0.8920454382896423,0.9147727489471436,0.90625,0.9119318127632141,0.8607954382896423,0.9261363744735718,0.9005681872367859,0.9289772510528564,0.9147727489471436,0.9289772510528564,0.9147727489471436,0.9147727489471436,0.9147727489471436,0.9460227489471436,0.9232954382896423,0.9119318127632141,0.9034090638160706,0.9289772510528564,0.9176136255264282,0.9403409361839294,0.9517045617103577,0.9204545617103577,0.9261363744735718,0.9204545617103577,0.90625,0.9403409361839294,0.9147727489471436,0.9261363744735718,0.90625,0.9090909361839294,0.9232954382896423,0.9289772510528564,0.9346590638160706,0.9261363744735718,0.9289772510528564,0.9488636255264282,0.9147727489471436,0.9204545617103577,0.90625,0.9375,0.9318181872367859,0.9488636255264282,0.9204545617103577,0.9034090638160706,0.9488636255264282,0.9176136255264282,0.9176136255264282,0.9431818127632141,0.9545454382896423,0.9375,0.9460227489471436,0.9488636255264282,0.9375,0.9346590638160706,0.9119318127632141,0.9346590638160706,0.9119318127632141,0.9346590638160706,0.9602272510528564,0.9602272510528564,0.9545454382896423,0.9289772510528564,0.9517045617103577,0.9261363744735718,0.9204545617103577,0.9517045617103577,0.9431818127632141,0.9431818127632141,0.8863636255264282,0.9375,0.9545454382896423,0.9460227489471436,0.9403409361839294,0.9431818127632141,0.9403409361839294,0.9289772510528564,0.9460227489471436,0.9289772510528564,0.9573863744735718,0.9545454382896423,0.9602272510528564,0.9460227489471436,0.9431818127632141,0.9573863744735718,0.9517045617103577,0.9545454382896423,0.9318181872367859,0.9488636255264282,0.90625,0.9602272510528564,0.9545454382896423,0.9573863744735718,0.9289772510528564,0.9204545617103577
fold2,0.7471590638160706,0.7443181872367859,0.8522727489471436,0.8409090638160706,0.8636363744735718,0.8892045617103577,0.8948863744735718,0.8863636255264282,0.8835227489471436,0.8863636255264282,0.9119318127632141,0.9090909361839294,0.9005681872367859,0.9261363744735718,0.9261363744735718,0.9346590638160706,0.9232954382896423,0.9318181872367859,0.9318181872367859,0.8210227489471436,0.9431818127632141,0.9289772510528564,0.9346590638160706,0.9261363744735718,0.9005681872367859,0.9204545617103577,0.9375,0.9261363744735718,0.9431818127632141,0.9261363744735718,0.9431818127632141,0.9261363744735718,0.9289772510528564,0.9318181872367859,0.9232954382896423,0.9375,0.9403409361839294,0.9318181872367859,0.9346590638160706,0.9488636255264282,0.9346590638160706,0.9318181872367859,0.9232954382896423,0.9403409361839294,0.9204545617103577,0.9403409361839294,0.9375,0.9517045617103577,0.9318181872367859,0.9431818127632141,0.9403409361839294,0.9375,0.8977272510528564,0.9488636255264282,0.9403409361839294,0.9289772510528564,0.9517045617103577,0.9403409361839294,0.9204545617103577,0.9289772510528564,0.9431818127632141,0.9375,0.9232954382896423,0.9375,0.9403409361839294,0.9318181872367859,0.9318181872367859,0.9431818127632141,0.9403409361839294,0.9431818127632141,0.9517045617103577,0.9176136255264282,0.9119318127632141,0.9261363744735718,0.9289772510528564,0.90625,0.9403409361839294,0.9403409361839294,0.9289772510528564,0.9488636255264282,0.9090909361839294,0.9488636255264282,0.9375,0.9232954382896423,0.9403409361839294,0.9403409361839294,0.9375,0.9403409361839294,0.9431818127632141,0.9431818127632141,0.9318181872367859,0.9488636255264282,0.9573863744735718,0.9318181872367859,0.8238636255264282,0.9460227489471436,0.9204545617103577,0.9261363744735718,0.9232954382896423,0.8835227489471436
fold3,0.7727272510528564,0.78125,0.8465909361839294,0.8778409361839294,0.8551136255264282,0.8948863744735718,0.90625,0.8806818127632141,0.9005681872367859,0.8693181872367859,0.9232954382896423,0.90625,0.9090909361839294,0.9147727489471436,0.9119318127632141,0.9176136255264282,0.9090909361839294,0.9176136255264282,0.9403409361839294,0.9176136255264282,0.9318181872367859,0.9375,0.9232954382896423,0.9261363744735718,0.9261363744735718,0.9375,0.9375,0.9346590638160706,0.9204545617103577,0.9346590638160706,0.9431818127632141,0.9261363744735718,0.9346590638160706,0.9431818127632141,0.9346590638160706,0.9403409361839294,0.9289772510528564,0.9431818127632141,0.9431818127632141,0.9488636255264282,0.9431818127632141,0.9431818127632141,0.9318181872367859,0.9375,0.9289772510528564,0.9289772510528564,0.9460227489471436,0.9204545617103577,0.9431818127632141,0.9090909361839294,0.9573863744735718,0.9517045617103577,0.9289772510528564,0.9403409361839294,0.9346590638160706,0.9232954382896423,0.9460227489471436,0.9403409361839294,0.9403409361839294,0.9346590638160706,0.9403409361839294,0.9431818127632141,0.9602272510528564,0.9488636255264282,0.9403409361839294,0.9318181872367859,0.9318181872367859,0.9545454382896423,0.9517045617103577,0.9488636255264282,0.9573863744735718,0.9403409361839294,0.9488636255264282,0.8607954382896423,0.9488636255264282,0.9261363744735718,0.9147727489471436,0.9517045617103577,0.90625,0.9289772510528564,0.9346590638160706,0.9602272510528564,0.9261363744735718,0.9517045617103577,0.9147727489471436,0.9375,0.9375,0.9573863744735718,0.9346590638160706,0.9289772510528564,0.9375,0.9545454382896423,0.9545454382896423,0.9602272510528564,0.9573863744735718,0.7784090638160706,0.9602272510528564,0.9431818127632141,0.9090909361839294,0.9545454382896423
fold4,0.7670454382896423,0.7784090638160706,0.8494318127632141,0.8465909361839294,0.8721590638160706,0.8835227489471436,0.8835227489471436,0.8664772510528564,0.8380681872367859,0.8948863744735718,0.8920454382896423,0.9119318127632141,0.8579545617103577,0.8863636255264282,0.8863636255264282,0.8806818127632141,0.8920454382896423,0.9289772510528564,0.9232954382896423,0.9289772510528564,0.9261363744735718,0.9176136255264282,0.9318181872367859,0.9147727489471436,0.9119318127632141,0.9289772510528564,0.8863636255264282,0.9232954382896423,0.8920454382896423,0.9232954382896423,0.9318181872367859,0.9318181872367859,0.9005681872367859,0.8920454382896423,0.9261363744735718,0.9090909361839294,0.9318181872367859,0.9261363744735718,0.9431818127632141,0.9204545617103577,0.9318181872367859,0.9289772510528564,0.9204545617103577,0.9431818127632141,0.9147727489471436,0.9090909361839294,0.9375,0.9147727489471436,0.9147727489471436,0.9261363744735718,0.9176136255264282,0.9289772510528564,0.9289772510528564,0.9147727489471436,0.9375,0.9318181872367859,0.9261363744735718,0.9460227489471436,0.8835227489471436,0.9261363744735718,0.9431818127632141,0.9375,0.9232954382896423,0.9346590638160706,0.9147727489471436,0.9090909361839294,0.8977272510528564,0.9261363744735718,0.9375,0.9090909361839294,0.9119318127632141,0.9318181872367859,0.9261363744735718,0.9431818127632141,0.8778409361839294,0.9232954382896423,0.9034090638160706,0.9261363744735718,0.9176136255264282,0.9289772510528564,0.9289772510528564,0.9147727489471436,0.9289772510528564,0.90625,0.9289772510528564,0.9403409361839294,0.8835227489471436,0.9119318127632141,0.9261363744735718,0.9147727489471436,0.8892045617103577,0.90625,0.9318181872367859,0.9232954382896423,0.9204545617103577,0.9375,0.9005681872367859,0.8835227489471436,0.9005681872367859,0.9375
fold5,0.7329545617103577,0.7329545617103577,0.8068181872367859,0.8352272510528564,0.8267045617103577,0.8863636255264282,0.8664772510528564,0.8806818127632141,0.8892045617103577,0.9034090638160706,0.8835227489471436,0.8863636255264282,0.9090909361839294,0.8863636255264282,0.8863636255264282,0.8835227489471436,0.9147727489471436,0.8892045617103577,0.9005681872367859,0.8892045617103577,0.9005681872367859,0.8920454382896423,0.9005681872367859,0.9005681872367859,0.9119318127632141,0.9204545617103577,0.9147727489471436,0.9176136255264282,0.8636363744735718,0.9119318127632141,0.9090909361839294,0.9090909361839294,0.9034090638160706,0.8977272510528564,0.8579545617103577,0.90625,0.9232954382896423,0.9090909361839294,0.9232954382896423,0.90625,0.9119318127632141,0.9176136255264282,0.875,0.9119318127632141,0.9289772510528564,0.9204545617103577,0.9147727489471436,0.9119318127632141,0.9176136255264282,0.9261363744735718,0.90625,0.9176136255264282,0.9119318127632141,0.8835227489471436,0.9176136255264282,0.9204545617103577,0.9119318127632141,0.9261363744735718,0.8977272510528564,0.9403409361839294,0.9204545617103577,0.9232954382896423,0.9119318127632141,0.8892045617103577,0.9005681872367859,0.9318181872367859,0.9375,0.9261363744735718,0.9318181872367859,0.9318181872367859,0.9289772510528564,0.9090909361839294,0.9318181872367859,0.9431818127632141,0.875,0.9289772510528564,0.9147727489471436,0.9261363744735718,0.8721590638160706,0.9119318127632141,0.9318181872367859,0.9318181872367859,0.8806818127632141,0.9147727489471436,0.9403409361839294,0.9403409361839294,0.9375,0.9460227489471436,0.9261363744735718,0.90625,0.9460227489471436,0.9517045617103577,0.9346590638160706,0.9431818127632141,0.9488636255264282,0.9261363744735718,0.9147727489471436,0.9488636255264282,0.9232954382896423,0.9602272510528564
fold6,0.7414772510528564,0.7244318127632141,0.84375,0.8551136255264282,0.8579545617103577,0.8863636255264282,0.8835227489471436,0.8778409361839294,0.9119318127632141,0.8551136255264282,0.9176136255264282,0.90625,0.9204545617103577,0.9232954382896423,0.9403409361839294,0.9318181872367859,0.9232954382896423,0.9261363744735718,0.9261363744735718,0.9261363744735718,0.9204545617103577,0.9119318127632141,0.9346590638160706,0.9375,0.9318181872367859,0.9375,0.9176136255264282,0.9005681872367859,0.9119318127632141,0.9460227489471436,0.9431818127632141,0.9034090638160706,0.9318181872367859,0.9318181872367859,0.9403409361839294,0.9318181872367859,0.9460227489471436,0.9261363744735718,0.9261363744735718,0.9289772510528564,0.9431818127632141,0.9318181872367859,0.9318181872367859,0.9119318127632141,0.9573863744735718,0.9261363744735718,0.9176136255264282,0.9431818127632141,0.9346590638160706,0.9176136255264282,0.9460227489471436,0.8835227489471436,0.9261363744735718,0.9289772510528564,0.9289772510528564,0.9232954382896423,0.9289772510528564,0.9602272510528564,0.9119318127632141,0.90625,0.9232954382896423,0.9403409361839294,0.9375,0.9346590638160706,0.9346590638160706,0.9204545617103577,0.9375,0.9431818127632141,0.8948863744735718,0.9204545617103577,0.9488636255264282,0.9488636255264282,0.9517045617103577,0.9375,0.9403409361839294,0.9261363744735718,0.9488636255264282,0.9346590638160706,0.9375,0.9403409361839294,0.9375,0.9346590638160706,0.9375,0.9261363744735718,0.9289772510528564,0.8977272510528564,0.9318181872367859,0.9346590638160706,0.9403409361839294,0.9375,0.9431818127632141,0.9318181872367859,0.9517045617103577,0.9119318127632141,0.9318181872367859,0.9403409361839294,0.9261363744735718,0.9318181872367859,0.9403409361839294,0.8977272510528564
fold7,0.7386363744735718,0.7471590638160706,0.8380681872367859,0.8664772510528564,0.8465909361839294,0.8607954382896423,0.8778409361839294,0.8778409361839294,0.8948863744735718,0.8948863744735718,0.9034090638160706,0.9005681872367859,0.9147727489471436,0.9034090638160706,0.9090909361839294,0.90625,0.9147727489471436,0.9176136255264282,0.9090909361839294,0.8778409361839294,0.8920454382896423,0.9176136255264282,0.9147727489471436,0.9147727489471436,0.9204545617103577,0.9318181872367859,0.90625,0.9176136255264282,0.9176136255264282,0.9346590638160706,0.9034090638160706,0.9232954382896423,0.9232954382896423,0.9176136255264282,0.9176136255264282,0.9261363744735718,0.9232954382896423,0.9232954382896423,0.9119318127632141,0.9147727489471436,0.9176136255264282,0.9261363744735718,0.9147727489471436,0.9232954382896423,0.9204545617103577,0.9090909361839294,0.9090909361839294,0.9119318127632141,0.9204545617103577,0.9204545617103577,0.9204545617103577,0.9147727489471436,0.9204545617103577,0.9147727489471436,0.9232954382896423,0.9289772510528564,0.9090909361839294,0.9261363744735718,0.9261363744735718,0.9261363744735718,0.9147727489471436,0.9176136255264282,0.9204545617103577,0.8948863744735718,0.9119318127632141,0.9204545617103577,0.90625,0.9176136255264282,0.8892045617103577,0.90625,0.9261363744735718,0.9232954382896423,0.9176136255264282,0.9176136255264282,0.8948863744735718,0.9119318127632141,0.9232954382896423,0.90625,0.90625,0.9090909361839294,0.90625,0.9005681872367859,0.8892045617103577,0.9261363744735718,0.9119318127632141,0.9147727489471436,0.9204545617103577,0.9204545617103577,0.9119318127632141,0.8977272510528564,0.9289772510528564,0.8977272510528564,0.9147727489471436,0.90625,0.9147727489471436,0.9119318127632141,0.8920454382896423,0.9147727489471436,0.8892045617103577,0.9204545617103577
fold8,0.7840909361839294,0.7926136255264282,0.7869318127632141,0.8522727489471436,0.8636363744735718,0.8664772510528564,0.8494318127632141,0.8778409361839294,0.8693181872367859,0.8835227489471436,0.8778409361839294,0.8778409361839294,0.90625,0.8948863744735718,0.8892045617103577,0.8465909361839294,0.9147727489471436,0.9204545617103577,0.9119318127632141,0.9090909361839294,0.8920454382896423,0.9119318127632141,0.9289772510528564,0.9090909361839294,0.9147727489471436,0.9318181872367859,0.90625,0.9431818127632141,0.9147727489471436,0.9176136255264282,0.9232954382896423,0.8096590638160706,0.9034090638160706,0.9204545617103577,0.9232954382896423,0.9176136255264282,0.9261363744735718,0.9147727489471436,0.90625,0.9375,0.9232954382896423,0.9318181872367859,0.9034090638160706,0.9289772510528564,0.9261363744735718,0.9375,0.9318181872367859,0.9261363744735718,0.9034090638160706,0.9232954382896423,0.9289772510528564,0.9375,0.9375,0.9403409361839294,0.9403409361839294,0.9346590638160706,0.9176136255264282,0.9375,0.9318181872367859,0.9289772510528564,0.9176136255264282,0.9460227489471436,0.9147727489471436,0.9346590638160706,0.9460227489471436,0.9232954382896423,0.9034090638160706,0.9375,0.9460227489471436,0.9232954382896423,0.9346590638160706,0.9176136255264282,0.9261363744735718,0.9375,0.9232954382896423,0.9517045617103577,0.9232954382896423,0.9517045617103577,0.9346590638160706,0.8920454382896423,0.9431818127632141,0.84375,0.9090909361839294,0.9232954382896423,0.9346590638160706,0.9346590638160706,0.9289772510528564,0.8863636255264282,0.9119318127632141,0.9460227489471436,0.9090909361839294,0.9403409361839294,0.9232954382896423,0.9488636255264282,0.9403409361839294,0.8551136255264282,0.8806818127632141,0.9147727489471436,0.9119318127632141,0.90625
fold9,0.7585227489471436,0.7471590638160706,0.8295454382896423,0.8636363744735718,0.8721590638160706,0.9005681872367859,0.9090909361839294,0.9204545617103577,0.9176136255264282,0.9090909361839294,0.9034090638160706,0.8636363744735718,0.9176136255264282,0.9232954382896423,0.9147727489471436,0.9375,0.9403409361839294,0.9034090638160706,0.8977272510528564,0.9289772510528564,0.9460227489471436,0.9318181872367859,0.9289772510528564,0.9232954382896423,0.8892045617103577,0.9375,0.9289772510528564,0.9318181872367859,0.9431818127632141,0.9232954382896423,0.9289772510528564,0.9318181872367859,0.9460227489471436,0.9261363744735718,0.9232954382896423,0.9346590638160706,0.9431818127632141,0.9147727489471436,0.9346590638160706,0.8892045617103577,0.9403409361839294,0.8806818127632141,0.9261363744735718,0.9403409361839294,0.9431818127632141,0.9517045617103577,0.9346590638160706,0.9375,0.9488636255264282,0.9460227489471436,0.9403409361839294,0.9318181872367859,0.9460227489471436,0.9346590638160706,0.9517045617103577,0.9403409361839294,0.9147727489471436,0.9460227489471436,0.9545454382896423,0.9318181872367859,0.9460227489471436,0.9431818127632141,0.9261363744735718,0.9517045617103577,0.9261363744735718,0.9488636255264282,0.9318181872367859,0.9318181872367859,0.9488636255264282,0.9403409361839294,0.9460227489471436,0.8977272510528564,0.9517045617103577,0.9289772510528564,0.9289772510528564,0.9147727489471436,0.9517045617103577,0.9403409361839294,0.9403409361839294,0.9517045617103577,0.9431818127632141,0.9545454382896423,0.9346590638160706,0.9289772510528564,0.9460227489471436,0.9545454382896423,0.9460227489471436,0.9176136255264282,0.9460227489471436,0.9545454382896423,0.9318181872367859,0.9346590638160706,0.9460227489471436,0.9460227489471436,0.9431818127632141,0.9375,0.9460227489471436,0.9460227489471436,0.9403409361839294,0.9034090638160706
fold10,0.78125,0.7784090638160706,0.8465909361839294,0.875,0.8664772510528564,0.8892045617103577,0.8977272510528564,0.9090909361839294,0.9034090638160706,0.9090909361839294,0.9204545617103577,0.9289772510528564,0.9289772510528564,0.9403409361839294,0.9204545617103577,0.9318181872367859,0.9176136255264282,0.9488636255264282,0.9431818127632141,0.9346590638160706,0.9375,0.9261363744735718,0.9431818127632141,0.9232954382896423,0.9403409361839294,0.9403409361839294,0.7556818127632141,0.9346590638160706,0.9232954382896423,0.9517045617103577,0.9375,0.9488636255264282,0.9232954382896423,0.9119318127632141,0.9289772510528564,0.9573863744735718,0.9403409361839294,0.9460227489471436,0.9403409361839294,0.9403409361839294,0.9204545617103577,0.9375,0.9460227489471436,0.9488636255264282,0.9431818127632141,0.9346590638160706,0.9403409361839294,0.9602272510528564,0.9488636255264282,0.9573863744735718,0.9488636255264282,0.9375,0.9403409361839294,0.90625,0.9602272510528564,0.9318181872367859,0.9488636255264282,0.9375,0.9545454382896423,0.9261363744735718,0.9460227489471436,0.9147727489471436,0.9403409361839294,0.9488636255264282,0.9573863744735718,0.9375,0.9460227489471436,0.9460227489471436,0.9375,0.9431818127632141,0.9403409361839294,0.9403409361839294,0.9431818127632141,0.9403409361839294,0.9488636255264282,0.9602272510528564,0.9232954382896423,0.9573863744735718,0.9573863744735718,0.9176136255264282,0.9375,0.9659090638160706,0.9431818127632141,0.9545454382896423,0.9176136255264282,0.9289772510528564,0.9403409361839294,0.9346590638160706,0.9232954382896423,0.9346590638160706,0.9630681872367859,0.9232954382896423,0.8892045617103577,0.9460227489471436,0.9488636255264282,0.9204545617103577,0.9403409361839294,0.9431818127632141,0.9375,0.9261363744735718
